Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
08/30/2020,02/01/2020,08/29/2020,US,Diabetes,Diabetes,E10-E14,35-44,630,
08/30/2020,02/01/2020,08/29/2020,US,Diabetes,Diabetes,E10-E14,45-54,1895,
08/30/2020,02/01/2020,08/29/2020,US,Diabetes,Diabetes,E10-E14,55-64,4543,
08/30/2020,02/01/2020,08/29/2020,US,Diabetes,Diabetes,E10-E14,65-74,7393,
08/30/2020,02/01/2020,08/29/2020,US,Diabetes,Diabetes,E10-E14,75-84,7346,
08/30/2020,02/01/2020,08/29/2020,US,Diabetes,Diabetes,E10-E14,85+,5500,
08/30/2020,02/01/2020,08/29/2020,US,Diabetes,Diabetes,E10-E14,Not stated,1,
08/30/2020,02/01/2020,08/29/2020,US,Diabetes,Diabetes,E10-E14,All ages,27528,
08/30/2020,02/01/2020,08/29/2020,US,Obesity,Obesity,E65-E68,0-24,84,
08/30/2020,02/01/2020,08/29/2020,US,Obesity,Obesity,E65-E68,25-34,291,
08/30/2020,02/01/2020,08/29/2020,US,Obesity,Obesity,E65-E68,35-44,681,
08/30/2020,02/01/2020,08/29/2020,US,Obesity,Obesity,E65-E68,45-54,1089,
08/30/2020,02/01/2020,08/29/2020,US,Obesity,Obesity,E65-E68,55-64,1509,
08/30/2020,02/01/2020,08/29/2020,US,Obesity,Obesity,E65-E68,65-74,1432,
08/30/2020,02/01/2020,08/29/2020,US,Obesity,Obesity,E65-E68,75-84,753,
08/30/2020,02/01/2020,08/29/2020,US,Obesity,Obesity,E65-E68,85+,220,
08/30/2020,02/01/2020,08/29/2020,US,Obesity,Obesity,E65-E68,Not stated,0,
08/30/2020,02/01/2020,08/29/2020,US,Obesity,Obesity,E65-E68,All ages,6059,
08/30/2020,02/01/2020,08/29/2020,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,
08/30/2020,02/01/2020,08/29/2020,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,
08/30/2020,02/01/2020,08/29/2020,US,Alzheimer disease,Alzheimer disease,G30,35-44,0,
08/30/2020,02/01/2020,08/29/2020,US,Alzheimer disease,Alzheimer disease,G30,45-54,2,
08/30/2020,02/01/2020,08/29/2020,US,Alzheimer disease,Alzheimer disease,G30,55-64,51,
08/30/2020,02/01/2020,08/29/2020,US,Alzheimer disease,Alzheimer disease,G30,65-74,397,
08/30/2020,02/01/2020,08/29/2020,US,Alzheimer disease,Alzheimer disease,G30,75-84,1720,
08/30/2020,02/01/2020,08/29/2020,US,Alzheimer disease,Alzheimer disease,G30,85+,3750,
08/30/2020,02/01/2020,08/29/2020,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,
08/30/2020,02/01/2020,08/29/2020,US,Alzheimer disease,Alzheimer disease,G30,All ages,5920,
08/30/2020,02/01/2020,08/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,
08/30/2020,02/01/2020,08/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,
08/30/2020,02/01/2020,08/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,2,
08/30/2020,02/01/2020,08/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,21,
08/30/2020,02/01/2020,08/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,293,
08/30/2020,02/01/2020,08/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,1804,
08/30/2020,02/01/2020,08/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,5705,
08/30/2020,02/01/2020,08/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,11575,
08/30/2020,02/01/2020,08/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,
08/30/2020,02/01/2020,08/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All ages,19400,
08/30/2020,02/01/2020,08/29/2020,US,Renal failure,Renal failure,N17-N19,0-24,17,
08/30/2020,02/01/2020,08/29/2020,US,Renal failure,Renal failure,N17-N19,25-34,120,
08/30/2020,02/01/2020,08/29/2020,US,Renal failure,Renal failure,N17-N19,35-44,305,
08/30/2020,02/01/2020,08/29/2020,US,Renal failure,Renal failure,N17-N19,45-54,948,
08/30/2020,02/01/2020,08/29/2020,US,Renal failure,Renal failure,N17-N19,55-64,2151,
08/30/2020,02/01/2020,08/29/2020,US,Renal failure,Renal failure,N17-N19,65-74,3724,
08/30/2020,02/01/2020,08/29/2020,US,Renal failure,Renal failure,N17-N19,75-84,3817,
08/30/2020,02/01/2020,08/29/2020,US,Renal failure,Renal failure,N17-N19,85+,3445,
08/30/2020,02/01/2020,08/29/2020,US,Renal failure,Renal failure,N17-N19,Not stated,2,
08/30/2020,02/01/2020,08/29/2020,US,Renal failure,Renal failure,N17-N19,All ages,14529,
08/30/2020,02/01/2020,08/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,40,
08/30/2020,02/01/2020,08/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,135,
08/30/2020,02/01/2020,08/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,197,
08/30/2020,02/01/2020,08/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,335,
08/30/2020,02/01/2020,08/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,628,
08/30/2020,02/01/2020,08/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1061,
08/30/2020,02/01/2020,08/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1306,
08/30/2020,02/01/2020,08/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,1720,
08/30/2020,02/01/2020,08/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,2,
08/30/2020,02/01/2020,08/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All ages,5424,
08/30/2020,02/01/2020,08/29/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,270,
08/30/2020,02/01/2020,08/29/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,737,
08/30/2020,02/01/2020,08/29/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,1700,
08/30/2020,02/01/2020,08/29/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,4470,
08/30/2020,02/01/2020,08/29/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,11089,
08/30/2020,02/01/2020,08/29/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,19265,
